Step,Molecular_DeepEnsemble_Fluorescence_Oscillator_Strength_vbll_20250511_205913 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250511_180255 - best_value,BLOB_EnsembleMolecular_BLOB_Fluorescence_Oscillator_Strength_20250510_150000 - best_value,Molecular_VBLL_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250510_144157 - best_value,Molecular_BLOB_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250509_161822 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250510_150511 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250509_153216 - best_value,Molecular_BLOB_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250508_191313 - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,Molecular_DeepEnsemble_Fluorescence_Oscillator_Strength_vbll_20250513_083430 - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,Fluorescence_Oscillator_Strength_mlp_20250513_164104 - best_value,Fluorescence_Oscillator_Strength_mlp_20250513_163615 - best_value,Molecular_VBLL_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250512_234400 - best_value
36,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.592014611,-3.360618324,-3.067614655,-2.062798965,-2.592014611,-3.360618324,-2.062798965,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
37,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.592014611,-3.360618324,-3.067614655,-2.062798965,-2.592014611,-3.360618324,-2.062798965,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
38,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.592014611,-3.360618324,-3.067614655,-2.062798965,-2.592014611,-3.360618324,-2.062798965,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
39,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.592014611,-3.360618324,-3.067614655,-2.062798965,-2.592014611,-3.360618324,-2.062798965,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
40,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.592014611,-3.360618324,-3.067614655,-2.062798965,-2.592014611,-3.360618324,-2.062798965,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
41,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.592014611,-3.360618324,-3.067614655,-2.062798965,-2.592014611,-3.360618324,-2.062798965,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
42,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.592014611,-3.360618324,-3.067614655,-2.062798965,-2.592014611,-3.360618324,-2.062798965,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
43,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.592014611,-3.360618324,-3.067614655,-2.062798965,-2.592014611,-3.360618324,-2.062798965,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
44,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.592014611,-3.360618324,-3.067614655,-2.062798965,-2.592014611,-3.360618324,-2.062798965,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
45,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.592014611,-3.360618324,-3.067614655,-2.062798965,-2.592014611,-3.360618324,-2.062798965,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
46,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
47,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
48,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.224651596,-1.763827553,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
49,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-1.763827553,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
