Step,BLOB_EnsembleMolecular_BLOB_Gsol_20250512_041334 - best_value,Molecular_Laplace_BO_Gsol_20250511_180607 - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250510_145035 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250510_040825 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_Laplace_BO_Gsol_20250509_163244 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_Laplace_BO_Gsol_20250509_153306 - best_value,Molecular_BLOB_Gsol_dense_precision_multirank_20250508_183330 - best_value
40,-1.07335287,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
41,,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.05974787,-1.12007244,-1.11386856,-1.07177469,-0.97406358,-1.11596373
42,-1.07335287,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-0.97406358,-1.11596373
43,,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-0.97406358,-1.12007244
44,-1.07335287,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-0.97406358,-1.12007244
45,,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-0.97406358,-1.12007244
46,-1.07335287,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-0.97406358,-1.12801776
47,,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-0.97406358,-1.12801776
48,-1.07335287,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-0.97406358,-1.12801776
49,,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-0.97406358,-1.15683315
50,-1.07335287,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-0.97406358,-1.15683315
51,,-1.01664723,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.15683315
52,-1.15683315,-1.04951691,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.15683315
53,,-1.04951691,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
54,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
55,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.05974787,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
56,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
57,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
58,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
59,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
60,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
61,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
62,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
63,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
64,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
65,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
66,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
67,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
68,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
69,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
70,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
71,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
72,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
73,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
74,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
75,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
76,-1.15683315,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
77,,-1.05974787,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.18847838,-1.12007244,-1.11386856,-1.11386856,-1.09188288,-1.12007244,-1.11386856,-1.11386856,-1.15683315,-1.18847838
