Step,BLOB_EnsembleMolecular_BLOB_score_20250511_224436 - best_value,Molecular_Laplace_BO_score_20250510_150719 - best_value,Molecular_VBLL_score_dense_precision_multirank_20250510_145147 - best_value,ibnn-score - best_value,dkl-score - best_value,gp-score - best_value,Molecular_Laplace_BO_score_20250510_150719 - best_value,Molecular_VBLL_score_dense_precision_multirank_20250510_035401 - best_value,BLOB_EnsembleMolecular_BLOB_score_20250509_220013 - best_value,Molecular_Laplace_BO_score_20250509_153118 - best_value,Molecular_BLOB_score_dense_precision_multirank_20250508_190040 - best_value,BLOB_EnsembleMolecular_BLOB_score_20250511_224436 - best_value,ibnn-score - best_value,dkl-score - best_value,gp-score - best_value,Molecular_DeepEnsemble_score_std_20250512_233817 - best_value,Molecular_DeepEnsemble_score_std_20250512_171001 - best_value
66,-7.8,-9.8,-9.8,-9.5,-9.5,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.5,-9.5,,
67,-7.8,-9.8,-9.8,-9.5,-9.5,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.5,-9.5,,
68,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
69,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
70,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
71,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
72,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
73,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
74,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
75,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
76,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
77,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
78,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
79,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
80,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
81,-7.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
82,-9.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
83,,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
84,-9.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
85,,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
86,-9.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
87,,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
88,-9.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
89,,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
90,-9.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.8,-9.8,-9.8,,-9.5,-9.7,-9.5,,
91,,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
92,-9.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.8,,-9.5,-9.7,-9.5,,
93,,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
94,-9.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.8,,-9.5,-9.7,-9.5,,
95,,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.8,,-9.5,-9.7,-9.5,,
96,-9.8,-9.8,-9.8,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
97,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
98,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
99,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
100,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
101,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
102,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
103,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
104,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
105,,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,,-9.8,-9.9,,-9.5,-9.7,-9.5,,
106,-9.8,-9.8,-9.9,-9.5,-9.7,-9.5,-9.8,-9.9,-9.9,-9.8,-9.9,,-9.5,-9.7,-9.5,,
